community_area,opioid_deaths_total_2014_2026,opioid_deaths_2023_2025
AUSTIN,980,266
HUMBOLDT PARK,610,124
WEST GARFIELD PARK,562,121
NORTH LAWNDALE,472,119
EAST GARFIELD PARK,404,94
SOUTH SHORE,364,123
NEAR WEST SIDE,339,91
WEST ENGLEWOOD,313,101
ROSELAND,271,72
ENGLEWOOD,253,80
AUBURN GRESHAM,251,66
CHATHAM,241,81
GREATER GRAND CROSSING,229,65
WEST TOWN,217,45
CHICAGO LAWN,216,65
NEAR NORTH SIDE,215,50
NEW CITY,210,58
SOUTH LAWNDALE,202,50
ROGERS PARK,192,53
LOOP,186,45
UPTOWN,181,53
LOGAN SQUARE,171,26
BELMONT CRAGIN,167,40
GRAND BOULEVARD,144,33
WEST PULLMAN,143,32
WOODLAWN,139,45
EDGEWATER,137,39
SOUTH CHICAGO,129,34
PORTAGE PARK,127,18
WASHINGTON HEIGHTS,127,39
LAKE VIEW,126,24
WASHINGTON PARK,97,20
GARFIELD RIDGE,96,28
IRVING PARK,90,15
LOWER WEST SIDE,88,26
WEST RIDGE,86,18
DOUGLAS,85,23
AVONDALE,84,13
DUNNING,84,16
ASHBURN,64,11
ALBANY PARK,64,10
FULLER PARK,64,26
GAGE PARK,61,9
NEAR SOUTH SIDE,58,21
BRIGHTON PARK,58,18
LINCOLN SQUARE,58,15
SOUTH DEERING,56,14
LINCOLN PARK,54,11
CLEARING,53,11
NORWOOD PARK,51,8
BRIDGEPORT,51,12
KENWOOD,47,18
AVALON PARK,46,17
JEFFERSON PARK,44,15
HERMOSA,43,8
MORGAN PARK,41,15
WEST LAWN,39,7
MCKINLEY PARK,37,10
MOUNT GREENWOOD,35,8
CALUMET HEIGHTS,34,13
OAKLAND,33,11
WEST ELSDON,33,10
HYDE PARK,30,14
RIVERDALE,29,9
NORTH PARK,27,7
ARMOUR SQUARE,26,7
EAST SIDE,26,8
HEGEWISCH,23,4
OHARE,23,6
ARCHER HEIGHTS,23,6
MONTCLARE,22,5
BEVERLY,21,5
PULLMAN,20,2
NORTH CENTER,18,2
FOREST GLEN,17,1
BURNSIDE,7,2
EDISON PARK,5,2
