rank,name,address,type,ca_name,placement_score,need,reach,recent_deaths_400m,nearest_nax_km,blight_score,hardship,transit_adjacent
1,Light Cafe Incorporated,4015 W HARRISON ST 1ST,Corner store / food mart,WEST GARFIELD PARK,109.3,72.8,1.5,46,0.67,24.7,92,True
2,SAVE-A-LOT  #859,420 S PULASKI RD,Corner store / food mart,WEST GARFIELD PARK,99.8,66.5,1.5,42,0.53,24.7,92,True
3,CRAZY PHILLY EXPRESS LLC,3903-3905 W HARRISON ST 1,Corner store / food mart,WEST GARFIELD PARK,87.9,58.6,1.5,37,0.69,24.7,92,True
4,OUR NEIGHBORHOOD QUICK STOP,346 S PULASKI RD 1ST,Corner store / food mart,WEST GARFIELD PARK,84.8,56.5,1.5,44,0.41,24.7,92,True
5,MJ FOOD MART,734 S PULASKI RD,Corner store / food mart,WEST GARFIELD PARK,83.1,55.4,1.5,35,0.7,24.7,92,True
6,JEWELEAN RESTAURANT,819 S PULASKI RD,Corner store / food mart,WEST GARFIELD PARK,68.9,45.9,1.5,29,0.62,24.7,92,True
7,"VAN-LOV, INC.",4058 W VAN BUREN ST 1ST,Tobacco / vape,WEST GARFIELD PARK,60.2,57.4,1.05,37,0.49,24.7,92,True
8,CICERO FOOD CENTER,519 S CICERO AVE,Corner store / food mart,AUSTIN,58.2,38.8,1.5,24,1.27,50.4,73,True
9,KING OF SOUL FOOD CUISINE & BAKERY,8103 S COTTAGE GROVE AVE,Corner store / food mart,CHATHAM,56.1,56.1,1.0,40,0.88,20.3,60,False
10,JERK TACO MAN,4001 W JACKSON BLVD 1ST,Corner store / food mart,WEST GARFIELD PARK,53.8,35.9,1.5,43,0.26,24.7,92,True
11,RCJ'S,8140 S COTTAGE GROVE AVE 1,Corner store / food mart,CHATHAM,53.3,53.3,1.0,38,0.92,20.3,60,False
12,SAMMY'S GRILL,6359 S DR MARTIN LUTHER KING JR DR,Corner store / food mart,WOODLAWN,51.6,34.4,1.5,25,0.74,17.2,58,True
13,"FAMILY FOOD MART, INC",8000 S COTTAGE GROVE AVE,Corner store / food mart,CHATHAM,50.5,50.5,1.0,36,0.78,20.3,60,False
14,LOTUS RESTAURANT,814-816 E 79TH ST,Corner store / food mart,GREATER GRAND CROSSING,49.7,49.7,1.0,33,0.83,35.0,66,False
